code,name,market,close,volume,trade_value,turnover,short_used_ratio,margin_used_ratio
0050,元大台灣50,TWSE,77.2,120639150.0,9275271308.0,0.0,0.0,0.0
0051,元大中型100,TWSE,106.25,120540.0,12770073.0,0.0,0.0,0.0
0052,富邦科技,TWSE,46.07,70948219.0,3253331308.0,0.0,0.0,0.0
0053,元大電子,TWSE,169.05,31004.0,5220725.0,0.0,0.0,0.0
0055,元大MSCI金融,TWSE,33.35,236722.0,7862931.0,0.0,0.0,0.0
0056,元大高股息,TWSE,38.7,121611406.0,4697086149.0,0.0,0.0,0.0
0057,富邦摩台,TWSE,227.0,61582.0,13957405.0,0.0,0.0,0.0
0061,元大寶滬深,TWSE,23.7,178769.0,4236021.0,0.0,0.0,0.0
006203,元大MSCI台灣,TWSE,139.35,14888.0,2063826.0,0.0,0.0,0.0
006204,永豐臺灣加權,TWSE,171.0,23248.0,3969758.0,0.0,0.0,0.0
006205,富邦上証,TWSE,41.3,541396.0,22361130.0,0.0,0.0,0.0
006206,元大上證50,TWSE,38.39,89713.0,3436395.0,0.0,0.0,0.0
006207,復華滬深,TWSE,31.72,205004.0,6507668.0,0.0,0.0,0.0
006208,富邦台50,TWSE,178.65,5736809.0,1020674177.0,0.0,0.0,0.0
00625K,富邦上証+R,TWSE,0.0,0.0,0.0,0.0,0.0,0.0
00631L,元大台灣50正2,TWSE,486.1,5078047.0,2453678996.0,0.0,0.0,0.0
00632R,元大台灣50反1,TWSE,14.13,87739271.0,1243585395.0,0.0,0.0,0.0
00633L,富邦上証正2,TWSE,47.89,2727731.0,130901739.0,0.0,0.0,0.0
00634R,富邦上証反1,TWSE,3.25,108600.0,352818.0,0.0,0.0,0.0
00635U,期元大S&P黃金,TWSE,53.65,6750302.0,361683080.0,0.0,0.0,0.0
00636,國泰中國A50,TWSE,26.77,498194.0,13340764.0,0.0,0.0,0.0
00636K,國泰中國A50+U,TWSE,8.57,200.0,1714.0,0.0,0.0,0.0
00637L,元大滬深300正2,TWSE,19.65,29534842.0,581964926.0,0.0,0.0,0.0
00638R,元大滬深300反1,TWSE,6.98,88280.0,615328.0,0.0,0.0,0.0
00639,富邦深100,TWSE,15.39,750183.0,11562975.0,0.0,0.0,0.0
00640L,富邦日本正2,TWSE,100.0,1272104.0,127469386.0,0.0,0.0,0.0
00641R,富邦日本反1,TWSE,4.01,2063774.0,8279440.0,0.0,0.0,0.0
00642U,期元大S&P石油,TWSE,16.95,6944898.0,117845122.0,0.0,0.0,0.0
00643,群益深証中小,TWSE,17.95,1364582.0,24500756.0,0.0,0.0,0.0
00643K,群益深証中小+R,TWSE,0.0,0.0,0.0,0.0,0.0,0.0
00645,富邦日本,TWSE,54.55,641778.0,35009671.0,0.0,0.0,0.0
00646,元大S&P500,TWSE,68.8,2502327.0,172325649.0,0.0,0.0,0.0
00647L,元大S&P500正2,TWSE,118.8,40857.0,4857641.0,0.0,0.0,0.0
00648R,元大S&P500反1,TWSE,4.29,886301.0,3809059.0,0.0,0.0,0.0
00650L,復華香港正2,TWSE,19.51,3797540.0,73978630.0,0.0,0.0,0.0
00651R,復華香港反1,TWSE,4.98,519790.0,2601470.0,0.0,0.0,0.0
00652,富邦印度,TWSE,37.28,348398.0,13018645.0,0.0,0.0,0.0
00653L,富邦印度正2,TWSE,56.8,422358.0,23956381.0,0.0,0.0,0.0
00654R,富邦印度反1,TWSE,6.28,37500.0,235339.0,0.0,0.0,0.0
00655L,國泰中國A50正2,TWSE,33.11,2137603.0,71093855.0,0.0,0.0,0.0
00656R,國泰中國A50反1,TWSE,6.17,61360.0,378630.0,0.0,0.0,0.0
00657,國泰日經225,TWSE,69.0,332302.0,22920360.0,0.0,0.0,0.0
00657K,國泰日經225+U,TWSE,21.65,200.0,4330.0,0.0,0.0,0.0
00660,元大歐洲50,TWSE,44.16,44329.0,1955792.0,0.0,0.0,0.0
00661,元大日經225,TWSE,75.45,463499.0,34971205.0,0.0,0.0,0.0
00662,富邦NASDAQ,TWSE,102.0,4088064.0,417580719.0,0.0,0.0,0.0
00663L,國泰臺灣加權正2,TWSE,63.4,8896558.0,560384730.0,0.0,0.0,0.0
00664R,國泰臺灣加權反1,TWSE,2.28,25339592.0,58015051.0,0.0,0.0,0.0
00665L,富邦恒生國企正2,TWSE,11.44,18210637.0,207888499.0,0.0,0.0,0.0
00666R,富邦恒生國企反1,TWSE,8.5,38230.0,324874.0,0.0,0.0,0.0
00668,國泰美國道瓊,TWSE,57.65,392040.0,22636056.0,0.0,0.0,0.0
00668K,國泰美國道瓊+U,TWSE,18.32,200.0,3664.0,0.0,0.0,0.0
00669R,國泰美國道瓊反1,TWSE,5.48,2928187.0,16031610.0,0.0,0.0,0.0
00670L,富邦NASDAQ正2,TWSE,158.05,1096926.0,173482093.0,0.0,0.0,0.0
